[2024-10-19 18:51:26,134][training.py][line:148][INFO] Epoch:[32/200]	 Best Acc=93.277	Loss: 0.351, Acc@1: 92.898, Acc@5: 100.000, cs_loss: 0.000, lr: 0.093
[2024-10-19 18:52:21,510][training.py][line:148][INFO] Epoch:[33/200]	 Best Acc=93.277	Loss: 0.595, Acc@1: 87.500, Acc@5: 99.527, cs_loss: 0.000, lr: 0.093
[2024-10-19 18:53:16,152][training.py][line:148][INFO] Epoch:[34/200]	 Best Acc=93.277	Loss: 0.415, Acc@1: 91.288, Acc@5: 100.000, cs_loss: 0.000, lr: 0.093
[2024-10-19 18:54:12,236][training.py][line:148][INFO] Epoch:[35/200]	 Best Acc=93.277	Loss: 0.517, Acc@1: 88.163, Acc@5: 100.000, cs_loss: 0.000, lr: 0.092
[2024-10-19 18:55:08,959][training.py][line:148][INFO] Epoch:[36/200]	 Best Acc=93.277	Loss: 0.390, Acc@1: 92.235, Acc@5: 99.905, cs_loss: 0.000, lr: 0.092
[2024-10-19 18:56:04,190][training.py][line:148][INFO] Epoch:[37/200]	 Best Acc=93.277	Loss: 0.409, Acc@1: 91.193, Acc@5: 99.811, cs_loss: 0.000, lr: 0.091
[2024-10-19 18:56:59,141][training.py][line:148][INFO] Epoch:[38/200]	 Best Acc=93.277	Loss: 0.462, Acc@1: 91.383, Acc@5: 99.811, cs_loss: 0.000, lr: 0.091
[2024-10-19 18:57:54,572][training.py][line:148][INFO] Epoch:[39/200]	 Best Acc=93.277	Loss: 0.542, Acc@1: 89.110, Acc@5: 99.811, cs_loss: 0.000, lr: 0.090
[2024-10-19 18:58:49,660][training.py][line:148][INFO] Epoch:[40/200]	 Best Acc=93.277	Loss: 0.642, Acc@1: 86.364, Acc@5: 100.000, cs_loss: 0.000, lr: 0.090
[2024-10-19 18:59:44,323][training.py][line:148][INFO] Epoch:[41/200]	 Best Acc=93.277	Loss: 0.733, Acc@1: 85.133, Acc@5: 99.811, cs_loss: 0.000, lr: 0.090
[2024-10-19 19:00:38,908][training.py][line:148][INFO] Epoch:[42/200]	 Best Acc=93.277	Loss: 0.449, Acc@1: 92.235, Acc@5: 99.337, cs_loss: 0.000, lr: 0.089
[2024-10-19 19:01:34,056][training.py][line:148][INFO] Epoch:[43/200]	 Best Acc=93.277	Loss: 0.512, Acc@1: 89.489, Acc@5: 99.811, cs_loss: 0.000, lr: 0.089
[2024-10-19 19:02:29,850][training.py][line:148][INFO] Epoch:[44/200]	 Best Acc=93.277	Loss: 0.520, Acc@1: 89.205, Acc@5: 99.432, cs_loss: 0.000, lr: 0.088
[2024-10-19 19:03:25,950][training.py][line:148][INFO] Epoch:[45/200]	 Best Acc=93.277	Loss: 0.487, Acc@1: 90.341, Acc@5: 100.000, cs_loss: 0.000, lr: 0.088
[2024-10-19 19:04:20,582][training.py][line:148][INFO] Epoch:[46/200]	 Best Acc=93.277	Loss: 0.511, Acc@1: 90.152, Acc@5: 99.432, cs_loss: 0.000, lr: 0.087
